ISIN,AR_4,Coef_4,AR_6,Coef_6,AR_8,Coef_8,AR_10,Coef_10,AR_12,Coef_12,AR_14,Coef_14,AR_16,Coef_16,AR_18,Coef_18,AR_20,Coef_20
GB0000811801,-0.33936305737400985,0.5788549259766154,-0.3788960221602494,0.7144532063338854,-0.811801261518641,0.6795130560715995,-1.0414694742885615,0.6781188790471586,-3.0168175965206463,0.49419702595586146,-8.805956392618786,0.04429794663057396,-9.666905948788838,0.023864464363225202,-9.915529021915317,0.029491135187769024,-9.876668855864384,0.04789218052161193
GB0000904986,-0.9769202766984864,0.10780425777402203,-0.36840891547840604,0.14361345332932507,0.9521049177962492,0.19727909013717893,-0.3059416000186034,0.05959995705609733,-0.2498503937478775,0.18439850077601883,-0.09348163820455295,0.35074651405950585,0.255664358378651,0.5289669605678451,0.6154400993095437,0.6492808350306134,0.9641537316795552,0.6643254846675006
GB0033147751,0.6488444115892102,0.06882170528557485,-0.5403977698861059,0.04566274205857057,0.06471718989375219,0.0536988888979556,-0.5111538686912468,0.03602935304606236,-2.309563962314582,0.0026953659483518466,-2.644154811779887,0.0009954658328222843,-2.212438480797003,0.01889007095717965,-0.33538865555040354,0.18280166186402802,0.01737609117993151,0.2530162580012739
GB0002875804,-2.6929592015253174,0.12354150250387308,-1.1816748534367143,0.10538308617505765,-3.1932793872371046,0.0778280637795794,-3.612108383997279,0.4008781287882196,-3.594882685967523,0.3541093556934223,-3.5897390302130794,0.3456841062157725,-1.9764563649952542,0.0011026811870652464,-2.3012448466412216,0.0014386832868031885,-3.097796350396305,0.01399773975742502
GB00B0N8QD54,-0.29984706324380056,0.10226847125202287,1.2630834967572382,0.300909356183396,-5.6015410056093,0.25433110748178356,-5.0145024423266324,0.3767656494438736,-5.292347005270851,0.4925744317684415,-5.214327652223325,0.4887555075030364,-5.148602697671569,0.47447376131936236,-5.009950122860291,0.448777912333866,-4.668056618687918,0.34216945138498156
GB0030913577,-1.5562993544673585,0.72530799612486,-1.867143158202832,0.16495437885339237,0.47428816326504675,0.11767972586193276,-0.7155629132165139,0.008447367479131773,-0.6162309708472266,0.030520140450028488,-1.1286815539219757,0.006617692824255839,-1.8934006452304548,0.01402128606151043,-1.5714440587420406,0.00483224595992604,-2.045081508303285,5.912376420091903e-05
GB00B0744B38,-1.496277323819873,0.8445205173876242,-1.4749625533778896,0.7783320789855127,-0.4987991011296171,0.31401952550799683,-0.6952867063334544,0.4048519703927477,-1.1179838737606955,0.5453380010892876,-0.813131728221582,0.6011769989946129,-0.26402408154332474,0.65548076145682,0.20563617524858493,0.7121742645523919,0.41050870540255796,0.7373578299020167
GB0031743007,1.0636245514331741,0.4268810005920376,0.94178100732193,0.002903925967770671,1.046310963016142,0.015317100273076867,0.06334921688943146,0.3817892939291434,0.23604356072352006,0.4418025655593695,0.1298517454638359,0.59602599107818,0.046666478502709746,0.5349283060130517,-0.37043202109298956,0.6750593898724528,0.17026503631059603,0.6739422109808377
GB0031016099,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR,cours non disponible,ERR
GB00B23K0M20,29.46932757358477,0.7566257182719981,15.123886868108844,0.07329332822764667,11.964228912957573,0.0871927094873467,17.50975260782749,0.12841300777576747,17.042072228807807,0.11487296510369827,17.538424629017513,0.19567630218788035,19.17282685204518,0.28646181208249577,20.577448508794912,0.4515826996782133,21.500262561678728,0.39338558827559844
