ISIN;Date 
NO0010657505;11/08/2022
NO0010657505;11/08/2022
NO0010657505;11/08/2022
NO0010657505;02/07/2019
NO0010657505;02/07/2019
NO0010657505;01/10/2019
NO0010657505;01/10/2019
;01/07/2021
;01/07/2021
US1011211018;16/04/2020
US1011211018;16/04/2020
US1011371077;10/11/2022
US1011371077;10/11/2022
US1011371077;10/11/2022
US1011371077;10/11/2022
US1011371077;10/11/2022
US1011371077;10/11/2022
;01/12/2022
;01/12/2022
;01/12/2022
BE0974268972;21/11/2018
BE0974268972;21/11/2018
;03/06/2021
AU000000BXB1;28/04/2022
AU000000BXB1;28/04/2022
AU000000BXB1;28/04/2022
;08/12/2022
;11/01/2021
;01/11/2021
;01/11/2021
;17/02/2022
TRABRISA91E3;05/08/2021
TRABRISA91E3;05/08/2021
;30/08/2019
;30/08/2019
GB0002875804;28/07/2022
GB0002875804;28/07/2022
GB0002875804;28/07/2022
GB0002875804;28/07/2022
RC000057;21/10/2021
RC000057;21/10/2021
GB00B0N8QD54;12/12/2019
GB00B0N8QD54;12/12/2019
US11120U1051;05/08/2021
;14/01/2021
;14/01/2021
JP3830000000;07/04/2022
JP3830000000;07/04/2022
JP3830000000;24/07/2018
JP3830000000;24/07/2018
;13/10/2022
;01/06/2020
;01/06/2020
;01/06/2020
;17/11/2022
;17/11/2022
;17/11/2021
;17/11/2021
;17/11/2021
;17/11/2021
;15/09/2022
;28/04/2022
GB0030913577;13/09/2017
GB0030913577;13/09/2017
;08/12/2022
;25/08/2022
;25/08/2022
;25/08/2022
SE0003849223;07/04/2022
SE0003849223;07/04/2022
BMG169621056;25/11/2021
BMG169621056;25/11/2021
GB00B0744B38;24/11/2022
GB00B0744B38;24/11/2022
GB00B0744B38;24/11/2022
;03/01/2022
;03/01/2022
;17/03/2022
;17/03/2022
;17/03/2022
;17/03/2022
GB0031743007;11/08/2022
GB0031743007;11/08/2022
GB0031743007;11/08/2022
GB0031743007;11/08/2022
GB0031743007;11/08/2022
;18/08/2022
;18/08/2022
;22/04/2021
;22/04/2021
;21/10/2021
;16/01/2020
;16/01/2020
;23/06/2022
;04/10/2021
US1276861036;06/06/2018
US1276861036;06/06/2018
US1276861036;06/06/2018
;24/02/2022
;30/06/2022
;27/10/2022
US1344291091;24/03/2022
US1344291091;24/03/2022
;20/10/2022
;20/10/2022
;20/10/2022
;20/10/2022
;05/08/2021
;05/08/2021
;05/08/2021
;05/08/2021
CA1363751027;21/07/2021
CA1363751027;21/07/2021
CA13645T1003;29/07/2021
;24/02/2022
GB0031016099;23/07/2020
GB0031016099;23/07/2020
;18/08/2022
;23/06/2022
;23/06/2022
;23/06/2022
;23/06/2022
FR0000125338;28/07/2022
FR0000125338;28/07/2022
FR0000125338;28/07/2022
FR0000125338;28/07/2022
FR0000125338;28/07/2022
FR0000125338;28/07/2022
FR0000125338;28/07/2022
FR0000125338;28/07/2022
FR0000125338;08/10/2020
FR0000125338;08/10/2020
FR0000125338;08/10/2020
FR0000125338;08/10/2020
FR0000125338;08/10/2020
FR0000125338;08/10/2020
GB00B23K0M20;25/02/2021
GB00B23K0M20;25/02/2021
GB00B62G9D36;19/05/2022
SG1J27887962;12/05/2022
SG1J27887962;12/05/2022
;08/12/2022
VGG1890L1076;08/12/2022
VGG1890L1076;08/12/2022
;17/11/2022
;09/12/2021
;01/12/2022
;04/06/2019
;04/06/2019
;04/06/2019
;04/06/2019
;04/06/2019
;07/07/2022
US1417810058;06/11/2019
US1417810058;06/11/2019
FI0009013429;27/08/2020
FI0009013429;27/08/2020
DK0010181759;14/06/2017
DK0010181759;14/06/2017
DK0010181759;14/06/2017
DK0010181759;14/06/2017
DK0010181759;14/06/2017
FR0010828137;06/01/2022
;05/05/2022
;03/01/2022
;03/01/2022
;17/03/2022
FR0000120172;18/06/2020
FR0000120172;18/06/2020
FR0000120172;18/06/2020
FR0000120172;18/06/2020
;01/09/2022
US1462291097;28/07/2022
US1462291097;28/07/2022
CA1467721082;29/07/2021
CA1467721082;29/07/2021
;17/11/2022
FR0000125585;26/09/2019
FR0000125585;26/09/2019
FR0000125585;26/09/2019
FR0000125585;26/09/2019
JP3209000003;22/04/2021
JP3209000003;22/04/2021
SE0000379190;16/04/2020
SE0000379190;16/04/2020
SE0000379190;16/04/2020
;28/07/2022
;10/12/2020
SE0001664707;10/09/2020
;09/01/2022
;22/09/2022
;22/09/2022
;22/09/2022
;22/09/2022
;22/09/2022
;22/09/2022
;22/09/2022
;22/09/2022
;22/09/2022
;07/07/2022
US12504L1098;10/12/2020
US12504L1098;10/12/2020
US12504L1098;10/12/2020
CA15101Q1081;14/05/2020
CA15101Q1081;14/05/2020
ES0105066007;24/06/2021
ES0105066007;24/06/2021
ES0105066007;24/06/2021
;29/10/2020
NL0013995087;22/07/2021
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
MXP225611567;08/12/2022
;21/10/2021
NO0010003882;25/11/2021
;27/01/2022
DE0005403901;20/07/2017
DE0005403901;20/07/2017
CZ0005112300;16/06/2022
CZ0005112300;16/06/2022
CA12532H1047;23/09/2021
CA12532H1047;23/09/2021
CA12532H1047;23/09/2021
;16/04/2020
;16/04/2020
;16/04/2020
;31/03/2022
US1598641074;04/02/2021
US1598641074;04/02/2021
US1598641074;04/02/2021
;07/07/2022
TW0002385002;06/10/2022
TW0002385002;06/10/2022
TW0002385002;06/10/2022
TW0002385002;06/10/2022
TW0006412000;15/09/2022
TW0006412000;15/09/2022
TW0006412000;15/09/2022
TW0006412000;15/09/2022
;27/05/2021
;27/05/2021
;27/05/2021
;13/01/2022
;13/01/2022
US1696561059;04/11/2021
US1696561059;04/11/2021
US1700328099;27/05/2021
US1700328099;27/05/2021
CA17039A1066;21/07/2022
CA17039A1066;21/07/2022
CA17039A1066;21/07/2022
CA17039A1066;21/07/2022
CA17039A1066;21/07/2022
DK0060227585;09/12/2021
DK0060227585;09/12/2021
;16/12/2021
;16/12/2021
;16/12/2021
;04/10/2021
;22/09/2022
JP3519400000;16/12/2021
JP3519400000;16/12/2021
JP3519400000;16/12/2021
;05/05/2022
US1713401024;01/01/2022
US1713401024;01/01/2022
US1713401024;01/01/2022
;31/03/2022
US17275R1023;21/07/2022
US17275R1023;21/07/2022
US17275R1023;21/07/2022
US17275R1023;21/07/2022
US17275R1023;13/09/2018
US17275R1023;13/09/2018
SG1R89002252;06/01/2022
SG1R89002252;06/01/2022
SG1R89002252;06/01/2022
SG1R89002252;17/07/2018
SG1R89002252;17/07/2018
FI4000369947;16/09/2021
;09/12/2021
;08/12/2022
;08/12/2022
CH0012142631;18/02/2021
CH0012142631;18/02/2021
;25/02/2021
;10/12/2020
;10/12/2020
;21/04/2022
;21/04/2022
;24/06/2021
SE0002626861;07/07/2022
;19/05/2022
;08/12/2022
HK0002007356;23/09/2021
HK0002007356;23/09/2021
HK0002007356;23/09/2021
GB00BF044593;01/06/2021
;08/12/2022
;08/12/2022
;13/08/2020
;06/01/2022
GB00B4YZN328;24/02/2022
GB00B4YZN328;24/02/2022
GB00B4YZN328;24/02/2022
;03/11/2022
US19122T1097;10/12/2020
US19122T1097;10/12/2020
US19122T1097;10/12/2020
US1912411089;11/06/2020
US1912411089;11/06/2020
US1912411089;11/06/2020
CH0198251305;22/04/2021
CH0198251305;22/04/2021
BE0003593044;10/12/2020
;07/01/2022
;21/07/2022
CA19238T1003;28/01/2021
CA19238T1003;28/01/2021
CA19238T1003;28/01/2021
CA19238T1003;28/01/2021
CA19238T1003;28/01/2021
US1924461023;15/09/2022
US1924461023;15/09/2022
;04/11/2021
;04/11/2021
FR0000121634;25/11/2021
FR0000121634;25/11/2021
US1941621039;06/10/2022
US1941621039;06/10/2022
US1941621039;06/10/2022
US1941621039;06/10/2022
US1941621039;06/10/2022
US1941621039;13/08/2020
US1941621039;13/08/2020
US1941621039;13/08/2020
US1941621039;13/08/2020
US1941621039;13/08/2020
;24/11/2022
;24/11/2022
DK0060448595;30/06/2022
DK0060448595;30/06/2022
DK0060448595;30/06/2022
DK0060448595;30/06/2022
LU0253815640;04/10/2021
LU0253815640;04/10/2021
LU0253815640;04/10/2021
JP3305500005;16/04/2020
JP3305500005;16/04/2020
SG1N31909426;07/07/2022
SG1N31909426;07/07/2022
;27/05/2021
;29/09/2022
US2946281027;27/08/2019
CH0210483332;02/09/2021
CH0210483332;02/09/2021
CH0210483332;02/09/2021
CH0210483332;02/09/2021
BRCBAVACNOR5;05/05/2022
BRCBAVACNOR5;05/05/2022
BRCBAVACNOR5;05/05/2022
GB00BLNN3L44;21/10/2021
GB00BLNN3L44;21/10/2021
GB00BD6K4575;04/10/2021
GB00BD6K4575;04/10/2021
GB00BD6K4575;04/10/2021
US2058871029;04/03/2021
US2058871029;04/03/2021
;02/06/2022
AT0000A13JT9;20/09/2018
AT0000A13JT9;20/09/2018
;06/10/2022
;06/10/2022
;06/10/2022
NZCENE0001S6;10/06/2021
NZCENE0001S6;10/06/2021
NZCENE0001S6;10/06/2021
DE0005439004;03/12/2020
DE0005439004;03/12/2020
DE0005439004;03/12/2020
DE0005439004;03/12/2020
;10/03/2022
;06/10/2022
;06/10/2022
;21/07/2022
;09/12/2021
;09/12/2021
;09/12/2021
;09/12/2021
;16/12/2021
;16/12/2021
;16/12/2021
;16/12/2021
;16/12/2021
SE0007158829;05/05/2022
SE0007158829;05/05/2022
;24/11/2022
NL0010583399;01/12/2022
NL0010583399;01/12/2022
NL0010583399;10/10/2019
;06/10/2022
;30/09/2021
;10/03/2022
;24/03/2022
;24/03/2022
US2220702037;17/11/2022
US2220702037;17/11/2022
US2220702037;17/11/2022
GB00BYPHNG03;28/10/2021
GB00BYPHNG03;28/10/2021
FR0000064578;24/02/2022
FR0000064578;24/02/2022
;01/12/2022
;01/12/2022
;01/12/2022
LU0251710041;20/10/2022
LU0251710041;20/10/2022
GB0002318888;22/07/2021
GB0002318888;22/07/2021
;21/07/2022
IE0001827041;03/03/2022
;27/01/2022
GB00BYZWX769;01/06/2021
GB00BYZWX769;01/06/2021
US2283681060;23/07/2020
US2283681060;23/07/2020
;08/10/2020
;08/10/2020
US1264081035;01/01/2020
PTCTT0AM0001;21/09/2017
PTCTT0AM0001;21/09/2017
PTCTT0AM0001;21/09/2017
PTCTT0AM0001;21/09/2017
US2310211063;01/08/2019
US2310211063;01/08/2019
;12/09/2019
;12/09/2019
GB00B4Y7R145;22/07/2021
GB00B4Y7R145;22/07/2021
GB00B4Y7R145;22/07/2021
GB00B4Y7R145;22/07/2021
GB00BFZ4N465;21/07/2022
GB00BFZ4N465;21/07/2022
GB00BFZ4N465;21/07/2022
GB00BFZ4N465;21/07/2022
;26/08/2021
US1266501006;01/10/2021
US1266501006;01/10/2021
US1266501006;01/10/2021
US1266501006;01/10/2021
US1266501006;01/10/2021
US1266501006;01/10/2021
US23283R1005;04/08/2022
;26/05/2022
JP3493800001;13/05/2021
JP3493800001;13/05/2021
;28/01/2021
JP3475350009;18/06/2020
JP3475350009;18/06/2020
;13/10/2022
;27/08/2020
JP3485600005;08/12/2022
JP3485600005;08/12/2022
JP3485600005;08/12/2022
JP3486800000;01/04/2020
JP3486800000;01/04/2020
;24/06/2021
JP3505000004;22/07/2021
JP3505000004;22/07/2021
JP3505000004;22/07/2021
JP3505000004;22/07/2021
JP3046390005;04/08/2022
JP3046390005;04/08/2022
JP3046390005;04/08/2022
;22/09/2022
;21/04/2022
;21/04/2022
INE439L01019;17/02/2022
INE439L01019;17/02/2022
;13/10/2022
;22/09/2022
;23/06/2022
;23/06/2022
IT0000076486;01/09/2022
IT0000076486;01/09/2022
IT0000076486;01/09/2022
IT0000076486;01/09/2022
IT0000076486;01/09/2022
;08/12/2022
;08/12/2022
;07/04/2022
FR0000120644;01/12/2022
FR0000120644;01/12/2022
FR0000120644;01/12/2022
FR0000120644;01/12/2022
FR0000120644;15/11/2017
FR0000120644;15/11/2017
FR0000130650;03/06/2021
FR0000130650;03/06/2021
FR0000130650;03/06/2021
FR0000130650;03/06/2021
;24/11/2022
;24/11/2022
;24/11/2022
;24/11/2022
;24/11/2022
US23918K1088;27/05/2021
US23918K1088;27/05/2021
US23918K1088;27/05/2021
US23918K1088;27/05/2021
;15/09/2022
;15/09/2022
;04/10/2021
;04/10/2021
;14/03/2019
;14/03/2019
;14/04/2022
;24/06/2021
GB00B3DGH821;01/12/2022
GB00B3DGH821;01/12/2022
FR0124392772;04/10/2021
FR0124392772;04/10/2021
FR0124392772;04/10/2021
US2435371073;04/11/2021
US2435371073;04/11/2021
;04/08/2022
US2441991054;20/10/2022
US2441991054;20/10/2022
;20/10/2022
US24703L1035;29/04/2021
US24703L1035;29/04/2021
;15/10/2020
;15/10/2020
;15/10/2020
US2473617023;01/09/2022
;13/01/2022
TW0002308004;01/12/2022
TW0002308004;01/12/2022
TW0002308004;01/12/2022
TW0002308004;01/12/2022
TW0002308004;01/12/2022
TW0002308004;01/12/2022
TW0002308004;11/01/2018
TW0002308004;11/01/2018
;27/08/2020
;22/09/2022
;21/07/2022
;03/06/2021
;25/06/2020
;25/06/2020
;25/06/2020
;15/09/2022
JP3551520004;10/08/2017
JP3551520004;10/08/2017
GB00B4JV1B90;01/10/2021
GB00B4JV1B90;01/10/2021
GB00B4JV1B90;01/10/2021
GB0002652740;14/03/2019
GB0002652740;14/03/2019
;25/08/2022
;25/08/2022
;26/05/2022
DE0008220005;08/07/2020
DE0008220005;08/07/2020
DE0008220005;08/07/2020
DE0008220005;08/07/2020
DE0008220005;08/07/2020
DE0008220005;08/07/2020
DE0008220005;08/07/2020
DE0008220005;08/07/2020
;04/11/2021
;04/11/2021
DE0005552004;17/11/2022
DE0005552004;17/11/2022
DE0005557508;10/06/2019
DE0005557508;10/06/2019
DE0005557508;10/06/2019
;11/01/2022
;03/11/2022
;03/11/2022
;03/11/2022
;03/11/2022
AU000000DXS1;04/07/2019
AU000000DXS1;04/07/2019
;17/11/2022
;17/11/2022
;17/11/2022
;17/11/2022
KR7139130009;22/09/2022
KR7139130009;22/09/2022
KR7139130009;22/09/2022
KR7139130009;22/09/2022
KR7139130009;22/09/2022
KR7139130009;22/09/2022
KR7139130009;22/09/2022
KR7139130009;22/09/2022
KR7139130009;22/09/2022
KR7139130009;22/09/2022
KR7139130009;09/01/2022
KR7139130009;09/01/2022
;12/08/2021
;05/10/2018
;05/10/2018
;05/10/2018
;05/10/2018
GB0002374006;09/09/2021
GB0002374006;09/09/2021
GB0002374006;09/09/2021
;04/03/2021
;04/03/2021
;22/10/2020
;01/08/2019
;18/03/2021
US2538681030;03/12/2020
US2538681030;03/12/2020
;28/04/2022
SE0001634262;30/09/2021
GB00BY9D0Y18;11/01/2022
GB00BY9D0Y18;03/11/2022
GB00BY9D0Y18;03/11/2022
GB00BY9D0Y18;03/11/2022
GB00BY9D0Y18;03/11/2022
;09/09/2021
;30/09/2021
DE0005878003;04/10/2021
DE0005878003;04/10/2021
JP3924800000;16/12/2021
JP3924800000;16/12/2021
;04/08/2022
GB00BYN59130;18/08/2022
GB00BYN59130;18/08/2022
GB00BYN59130;18/08/2022
GB00BYN59130;18/08/2022
GB00BYN59130;18/08/2022
GB00BYN59130;18/08/2022
;07/07/2022
;07/07/2022
;17/11/2022
;09/09/2021
CH0011795959;13/10/2022
CH0011795959;13/10/2022
;10/06/2021
US2600031080;23/06/2021
US2600031080;23/06/2021
;04/08/2022
INE089A01023;26/05/2022
INE089A01023;26/05/2022
INE089A01023;26/05/2022
;09/09/2021
GB0008220112;16/06/2022
GB0008220112;16/06/2022
