,Date,S&P/ASX 200 ,Austrian Traded Index,BEL 20 Index,S&P/TSX 60 INDEX,S&P/CLX IGPA (CLP) Index,Colombia Price Index,OMXC 25 CAP Index,OMX Helsinki,IBEX 35 Index,Budapest SE Index,Athex,OMX Iceland,ISEQ,FTSE,TOPIX ,LuxX Index,OMX Vilnius,Oslo Stock Exchange Equity Index,S&P/Bmv Ipc, Lisbon PSI Index,Amsterdam,Swiss Market Index,OMX Stockholm,PX Prague,FTSE 100 Index,Shanghai SE 50,BIST 100 Index,SBF 120 - PRICE INDEX,DAX PERFORMANCE - PRICE INDEX,S&P 500 VALUE - PRICE INDEX
69,15/01/2014,5245.4,2729.07,2957.98,792.52,18041.88,997.59,,7481.93,10525.0,19423.02,1283.7,874.83,4817.42,20045.76,1294.52,1469.33,444.69,516.47,42511.25,7125.02,408.62,8423.42,1342.99,1035.72,6819.86,1488.51,681.35,3372.97,9733.81,844.71
70,16/01/2014,5309.1,2713.04,2964.8,795.39,18134.52,983.85,,7478.77,10455.5,19459.58,1271.31,880.23,4806.65,19875.69,1294.39,1470.1,445.89,518.24,42172.73,7094.31,407.59,8450.67,1342.65,1025.75,6815.42,1493.09,668.44,3362.2,9717.71,843.13
71,17/01/2014,5305.9,2721.76,2969.15,798.62,18266.88,978.97,,7469.34,10465.7,19255.65,1268.53,882.17,4831.18,19969.33,1297.39,1477.98,446.31,516.6,41911.31,7114.28,408.26,8478.89,1350.1,1027.1,6829.3,1475.67,656.35,3370.06,9742.96,839.41
72,20/01/2014,5295.0,2704.92,2964.32,805.15,18183.68,975.41,,7471.19,10454.1,19262.54,1239.48,883.98,4826.25,19973.45,1293.86,1467.36,447.79,515.32,41976.37,7106.0,408.0,8480.95,1350.98,1025.96,6836.73,1464.84,657.64,3365.71,9715.9,839.41
73,21/01/2014,5331.5,2696.15,2958.83,802.16,18170.5,964.84,,7429.81,10357.4,19453.02,1215.34,887.28,4839.22,19995.75,1295.95,1462.82,449.07,518.6,41838.63,7079.84,405.19,8486.37,1350.02,1025.5,6834.26,1478.88,663.19,3366.98,9730.12,840.25
74,22/01/2014,5319.8,2707.21,2952.36,805.34,18248.41,971.38,,7461.68,10279.7,19596.46,1222.88,885.43,4853.61,19958.38,1299.63,1462.94,451.2,515.49,42062.82,6845.76,407.45,8466.7,1355.24,1029.6,6826.33,1514.12,673.67,3367.59,9720.11,839.24
75,23/01/2014,5263.0,2680.26,2951.95,801.83,18131.48,948.16,,7339.07,10241.2,19544.61,1223.28,895.75,4815.08,19814.55,1287.52,1458.9,454.86,510.25,41531.8,6839.62,403.89,8404.98,1339.8,1026.79,6773.28,1499.03,654.29,3336.29,9631.04,831.33
76,24/01/2014,5240.9,2626.61,2889.93,788.15,17815.17,931.2,,7204.69,9868.9,19075.39,1183.99,888.26,4716.73,19358.99,1264.6,1419.32,451.37,502.12,40979.8,6773.5,393.85,8201.5,1318.53,1015.43,6663.74,1502.06,644.28,3246.03,9392.02,814.78
77,27/01/2014,,2604.89,2878.64,780.7,17493.58,921.29,,7125.24,9758.4,18799.73,1159.43,873.61,4640.52,19273.58,1229.23,1424.08,444.89,499.29,40863.41,6689.19,390.79,8132.16,1317.24,999.03,6550.66,1478.87,645.69,3230.76,9349.22,812.76
78,28/01/2014,5175.1,2645.74,2902.57,786.23,17349.86,910.64,,7190.98,9879.1,18707.4,1136.97,873.08,4721.47,19448.32,1224.31,1446.4,450.19,498.36,40660.93,6800.14,392.23,8186.62,1318.41,1003.75,6572.33,1487.8,635.44,3262.42,9406.91,818.87
79,29/01/2014,5229.0,2599.78,2880.93,783.31,16937.63,901.99,,7172.27,9896.2,18546.8,1126.35,868.31,4723.35,19337.42,1256.18,1437.09,452.56,492.01,40689.9,6784.82,389.33,8135.81,1310.13,990.63,6544.28,1494.49,620.89,3244.33,9336.73,811.84
80,30/01/2014,5188.1,2582.01,2897.97,788.69,16938.43,908.63,,7134.64,9964.5,18616.68,1155.81,873.58,4684.64,19411.55,1224.09,1441.07,451.34,494.26,41008.3,6764.94,389.61,8204.96,1302.83,994.43,6538.45,1477.35,627.01,3258.32,9373.48,818.2
81,31/01/2014,5190.0,2559.74,2891.25,785.53,17123.06,907.48,,7030.6,9920.2,18958.24,1176.92,881.8,4652.3,19418.34,1220.64,1431.62,453.61,490.21,40879.75,6696.67,386.85,8191.33,1304.45,990.61,6510.44,,618.58,3246.84,9306.48,811.49
82,03/02/2014,5187.9,2525.92,2844.21,774.29,16944.04,888.88,,6965.42,9725.4,18552.47,1208.14,884.7,4662.99,18907.16,1196.32,1421.87,452.37,488.92,,6602.99,383.63,8107.02,1285.91,986.81,6465.66,,616.75,3206.49,9186.52,793.81
83,04/02/2014,5097.1,2520.24,2847.75,773.98,17007.98,887.96,,7022.74,9754.3,18510.64,1212.6,885.69,4666.93,19019.71,1139.27,1424.78,451.29,489.04,40085.52,6707.53,382.98,8092.53,1280.99,981.0,6449.27,,627.33,3212.45,9127.91,797.94
84,05/02/2014,5070.3,2542.3,2847.32,776.76,17025.22,893.68,,7059.3,9775.0,18339.32,1240.11,890.99,4694.62,19069.62,1162.64,1440.17,451.28,486.67,39880.87,6722.59,382.65,8112.96,1292.46,985.24,6457.89,,624.42,3213.27,9116.32,796.06
85,06/02/2014,5131.4,2566.11,2894.73,786.09,17174.7,909.7,,7237.11,9964.6,18087.59,1250.07,895.57,4764.58,19504.24,1162.37,1451.67,452.29,491.7,40288.78,6888.4,388.41,8218.44,1308.14,1005.34,6558.28,,645.5,3265.09,9256.58,805.73
86,07/02/2014,5166.5,2594.39,2909.43,790.13,17349.84,915.54,,7285.12,10072.4,18106.07,1254.75,882.65,4829.77,19692.08,1189.14,1479.96,454.45,501.83,40525.74,6928.19,389.54,8318.6,1313.2,1001.22,6571.68,1475.34,646.14,3293.81,9301.92,814.32
87,10/02/2014,5222.1,2590.77,2913.54,791.18,17411.83,906.2,,7352.08,9982.7,18115.28,1260.17,885.0,4804.82,19682.82,1204.28,1464.52,455.17,500.42,40116.36,6921.8,389.64,8324.85,1318.65,1005.92,6591.55,1505.83,640.5,3301.58,9289.86,814.15
88,11/02/2014,5254.5,2641.58,2943.33,795.47,17621.09,916.86,,7428.58,10091.2,18297.44,1246.03,888.57,4852.13,19887.39,,1480.2,456.97,503.28,40759.62,7014.25,394.96,8361.52,1335.12,1002.07,6672.66,1528.32,642.81,3337.04,9478.77,823.61
89,12/02/2014,5310.1,2655.06,2959.48,797.47,17850.24,935.93,,7422.87,10080.8,18062.2,1278.22,881.57,4919.16,20144.96,1219.6,1485.96,457.49,500.98,40690.06,6985.42,397.42,8402.41,1330.02,1018.09,6675.03,1527.0,645.14,3355.91,9540.0,822.67
